orbit_id,split,expected_label_answerable,auditor_label_answerable,auditor_failure_type,auditor_notes,auditor2_label_answerable,auditor2_failure_type,auditor2_notes,adjudicated_label_answerable,adjudication_notes
fever:ac44a2875a3777beff22b7e3f2d2e820:conflict,fever_conflicting_evidence,false,,,,,,,,
fever:e664966e5d4221ca1c89f8dcaafa9b2b:conflict,fever_conflicting_evidence,false,,,,,,,,
fever:fc0f519782d391fdde79f96705ec724d:conflict,fever_conflicting_evidence,false,,,,,,,,
fever:7a02b00ea079b96cb33a7782dfb2c059:conflict,fever_conflicting_evidence,false,,,,,,,,
fever:750b9a1dc5d5b0603b17728f34159eb7:conflict,fever_conflicting_evidence,false,,,,,,,,
fever:352a10eebee07d1e72be741f46d03776:conflict,fever_conflicting_evidence,false,,,,,,,,
fever:e8dd28ce7eb625843cd6d471fa5de66d:conflict,fever_conflicting_evidence,false,,,,,,,,
fever:562d69d6c90f3abd6c404931d754390c:conflict,fever_conflicting_evidence,false,,,,,,,,
fever:6383289a5759f26a092647fa55a3a4c6:conflict,fever_conflicting_evidence,false,,,,,,,,
fever:2de22e8ed1fb3f70661b4c4d3a947c7c:conflict,fever_conflicting_evidence,false,,,,,,,,
fever:7fdadfb799922d657108dd8c28010309:conflict,fever_conflicting_evidence,false,,,,,,,,
fever:e9a002d9b8a6e29528cc5c22393f0953:conflict,fever_conflicting_evidence,false,,,,,,,,
fever:c952e1b34e8381bbfa7e4e27c0e090c8:conflict,fever_conflicting_evidence,false,,,,,,,,
fever:9e746b3be3caeb4bbdd5be0c60d9a086:conflict,fever_conflicting_evidence,false,,,,,,,,
fever:2eeb3da68ff17ff2eb11278d44095d5f:conflict,fever_conflicting_evidence,false,,,,,,,,
fever:71cc17ff9fc1dcb0ebbfa8ced12d8677:conflict,fever_conflicting_evidence,false,,,,,,,,
fever:13f69a0d0628a12b06c497e3cf57e0c2:conflict,fever_conflicting_evidence,false,,,,,,,,
fever:84d8b8a363f160b432f0eef095fa3424:conflict,fever_conflicting_evidence,false,,,,,,,,
fever:5defcc455306f762686b902b87b6fcff:conflict,fever_conflicting_evidence,false,,,,,,,,
fever:eae53021506f1daf25c8fba603922361:conflict,fever_conflicting_evidence,false,,,,,,,,
fever:3965d777f70e043a1b494847f2d4ea0a:conflict,fever_conflicting_evidence,false,,,,,,,,
fever:2c69dec18578c87e49604859e7123cb6:conflict,fever_conflicting_evidence,false,,,,,,,,
