audit_id,dataset,auditor_id,label_semantic,label_answerable,failure_type,confidence,notes
v4_paper1000_mixed_blind1000-00001,copenlu/fever_gold_evidence,auditor1,,,,,
v4_paper1000_mixed_blind1000-00002,copenlu/fever_gold_evidence,auditor1,,,,,
v4_paper1000_mixed_blind1000-00003,hotpot_qa/distractor,auditor1,,,,,
v4_paper1000_mixed_blind1000-00004,hotpot_qa/distractor,auditor1,,,,,
v4_paper1000_mixed_blind1000-00005,copenlu/fever_gold_evidence,auditor1,,,,,
v4_paper1000_mixed_blind1000-00006,hotpot_qa/distractor,auditor1,,,,,
v4_paper1000_mixed_blind1000-00007,copenlu/fever_gold_evidence,auditor1,,,,,
v4_paper1000_mixed_blind1000-00008,hotpot_qa/distractor,auditor1,,,,,
v4_paper1000_mixed_blind1000-00009,hotpot_qa/distractor,auditor1,,,,,
v4_paper1000_mixed_blind1000-00010,copenlu/fever_gold_evidence,auditor1,,,,,
v4_paper1000_mixed_blind1000-00011,copenlu/fever_gold_evidence,auditor1,,,,,
v4_paper1000_mixed_blind1000-00012,copenlu/fever_gold_evidence,auditor1,,,,,
v4_paper1000_mixed_blind1000-00013,copenlu/fever_gold_evidence,auditor1,,,,,
v4_paper1000_mixed_blind1000-00014,copenlu/fever_gold_evidence,auditor1,,,,,
v4_paper1000_mixed_blind1000-00015,hotpot_qa/distractor,auditor1,,,,,
v4_paper1000_mixed_blind1000-00016,copenlu/fever_gold_evidence,auditor1,,,,,
v4_paper1000_mixed_blind1000-00017,copenlu/fever_gold_evidence,auditor1,,,,,
v4_paper1000_mixed_blind1000-00018,hotpot_qa/distractor,auditor1,,,,,
v4_paper1000_mixed_blind1000-00019,copenlu/fever_gold_evidence,auditor1,,,,,
v4_paper1000_mixed_blind1000-00020,copenlu/fever_gold_evidence,auditor1,,,,,
v4_paper1000_mixed_blind1000-00021,copenlu/fever_gold_evidence,auditor1,,,,,
v4_paper1000_mixed_blind1000-00022,copenlu/fever_gold_evidence,auditor1,,,,,
v4_paper1000_mixed_blind1000-00023,copenlu/fever_gold_evidence,auditor1,,,,,
v4_paper1000_mixed_blind1000-00024,hotpot_qa/distractor,auditor1,,,,,
v4_paper1000_mixed_blind1000-00025,hotpot_qa/distractor,auditor1,,,,,
