audit_id,dataset,auditor_id,label_semantic,label_answerable,failure_type,confidence,notes
v4_paper1000_mixed_blind1000-00401,hotpot_qa/distractor,auditor2,,,,,
v4_paper1000_mixed_blind1000-00402,hotpot_qa/distractor,auditor2,,,,,
v4_paper1000_mixed_blind1000-00403,copenlu/fever_gold_evidence,auditor2,,,,,
v4_paper1000_mixed_blind1000-00404,hotpot_qa/distractor,auditor2,,,,,
v4_paper1000_mixed_blind1000-00405,copenlu/fever_gold_evidence,auditor2,,,,,
v4_paper1000_mixed_blind1000-00406,copenlu/fever_gold_evidence,auditor2,,,,,
v4_paper1000_mixed_blind1000-00407,hotpot_qa/distractor,auditor2,,,,,
v4_paper1000_mixed_blind1000-00408,hotpot_qa/distractor,auditor2,,,,,
v4_paper1000_mixed_blind1000-00409,copenlu/fever_gold_evidence,auditor2,,,,,
v4_paper1000_mixed_blind1000-00410,hotpot_qa/distractor,auditor2,,,,,
v4_paper1000_mixed_blind1000-00411,copenlu/fever_gold_evidence,auditor2,,,,,
v4_paper1000_mixed_blind1000-00412,copenlu/fever_gold_evidence,auditor2,,,,,
v4_paper1000_mixed_blind1000-00413,hotpot_qa/distractor,auditor2,,,,,
v4_paper1000_mixed_blind1000-00414,copenlu/fever_gold_evidence,auditor2,,,,,
v4_paper1000_mixed_blind1000-00415,copenlu/fever_gold_evidence,auditor2,,,,,
v4_paper1000_mixed_blind1000-00416,copenlu/fever_gold_evidence,auditor2,,,,,
v4_paper1000_mixed_blind1000-00417,copenlu/fever_gold_evidence,auditor2,,,,,
v4_paper1000_mixed_blind1000-00418,copenlu/fever_gold_evidence,auditor2,,,,,
v4_paper1000_mixed_blind1000-00419,hotpot_qa/distractor,auditor2,,,,,
v4_paper1000_mixed_blind1000-00420,hotpot_qa/distractor,auditor2,,,,,
v4_paper1000_mixed_blind1000-00421,hotpot_qa/distractor,auditor2,,,,,
v4_paper1000_mixed_blind1000-00422,copenlu/fever_gold_evidence,auditor2,,,,,
v4_paper1000_mixed_blind1000-00423,copenlu/fever_gold_evidence,auditor2,,,,,
v4_paper1000_mixed_blind1000-00424,hotpot_qa/distractor,auditor2,,,,,
v4_paper1000_mixed_blind1000-00425,copenlu/fever_gold_evidence,auditor2,,,,,
v4_paper1000_mixed_blind1000-00426,copenlu/fever_gold_evidence,auditor2,,,,,
v4_paper1000_mixed_blind1000-00427,copenlu/fever_gold_evidence,auditor2,,,,,
v4_paper1000_mixed_blind1000-00428,hotpot_qa/distractor,auditor2,,,,,
v4_paper1000_mixed_blind1000-00429,copenlu/fever_gold_evidence,auditor2,,,,,
v4_paper1000_mixed_blind1000-00430,copenlu/fever_gold_evidence,auditor2,,,,,
v4_paper1000_mixed_blind1000-00431,copenlu/fever_gold_evidence,auditor2,,,,,
v4_paper1000_mixed_blind1000-00432,hotpot_qa/distractor,auditor2,,,,,
v4_paper1000_mixed_blind1000-00433,hotpot_qa/distractor,auditor2,,,,,
v4_paper1000_mixed_blind1000-00434,copenlu/fever_gold_evidence,auditor2,,,,,
v4_paper1000_mixed_blind1000-00435,copenlu/fever_gold_evidence,auditor2,,,,,
v4_paper1000_mixed_blind1000-00436,copenlu/fever_gold_evidence,auditor2,,,,,
v4_paper1000_mixed_blind1000-00437,hotpot_qa/distractor,auditor2,,,,,
v4_paper1000_mixed_blind1000-00438,copenlu/fever_gold_evidence,auditor2,,,,,
v4_paper1000_mixed_blind1000-00439,copenlu/fever_gold_evidence,auditor2,,,,,
v4_paper1000_mixed_blind1000-00440,copenlu/fever_gold_evidence,auditor2,,,,,
v4_paper1000_mixed_blind1000-00441,copenlu/fever_gold_evidence,auditor2,,,,,
v4_paper1000_mixed_blind1000-00442,copenlu/fever_gold_evidence,auditor2,,,,,
v4_paper1000_mixed_blind1000-00443,hotpot_qa/distractor,auditor2,,,,,
v4_paper1000_mixed_blind1000-00444,copenlu/fever_gold_evidence,auditor2,,,,,
v4_paper1000_mixed_blind1000-00445,copenlu/fever_gold_evidence,auditor2,,,,,
v4_paper1000_mixed_blind1000-00446,hotpot_qa/distractor,auditor2,,,,,
v4_paper1000_mixed_blind1000-00447,hotpot_qa/distractor,auditor2,,,,,
v4_paper1000_mixed_blind1000-00448,copenlu/fever_gold_evidence,auditor2,,,,,
v4_paper1000_mixed_blind1000-00449,copenlu/fever_gold_evidence,auditor2,,,,,
v4_paper1000_mixed_blind1000-00450,copenlu/fever_gold_evidence,auditor2,,,,,
v4_paper1000_mixed_blind1000-00451,copenlu/fever_gold_evidence,auditor2,,,,,
v4_paper1000_mixed_blind1000-00452,hotpot_qa/distractor,auditor2,,,,,
v4_paper1000_mixed_blind1000-00453,hotpot_qa/distractor,auditor2,,,,,
v4_paper1000_mixed_blind1000-00454,copenlu/fever_gold_evidence,auditor2,,,,,
v4_paper1000_mixed_blind1000-00455,copenlu/fever_gold_evidence,auditor2,,,,,
v4_paper1000_mixed_blind1000-00456,copenlu/fever_gold_evidence,auditor2,,,,,
v4_paper1000_mixed_blind1000-00457,copenlu/fever_gold_evidence,auditor2,,,,,
v4_paper1000_mixed_blind1000-00458,copenlu/fever_gold_evidence,auditor2,,,,,
v4_paper1000_mixed_blind1000-00459,hotpot_qa/distractor,auditor2,,,,,
v4_paper1000_mixed_blind1000-00460,copenlu/fever_gold_evidence,auditor2,,,,,
v4_paper1000_mixed_blind1000-00461,hotpot_qa/distractor,auditor2,,,,,
v4_paper1000_mixed_blind1000-00462,copenlu/fever_gold_evidence,auditor2,,,,,
v4_paper1000_mixed_blind1000-00463,copenlu/fever_gold_evidence,auditor2,,,,,
v4_paper1000_mixed_blind1000-00464,copenlu/fever_gold_evidence,auditor2,,,,,
v4_paper1000_mixed_blind1000-00465,hotpot_qa/distractor,auditor2,,,,,
