audit_id,dataset,auditor_id,label_semantic,label_answerable,failure_type,confidence,notes
v4_paper1000_mixed_blind1000-00201,hotpot_qa/distractor,auditor1,,,,,
v4_paper1000_mixed_blind1000-00202,copenlu/fever_gold_evidence,auditor1,,,,,
v4_paper1000_mixed_blind1000-00203,copenlu/fever_gold_evidence,auditor1,,,,,
v4_paper1000_mixed_blind1000-00204,copenlu/fever_gold_evidence,auditor1,,,,,
v4_paper1000_mixed_blind1000-00205,copenlu/fever_gold_evidence,auditor1,,,,,
v4_paper1000_mixed_blind1000-00206,copenlu/fever_gold_evidence,auditor1,,,,,
v4_paper1000_mixed_blind1000-00207,hotpot_qa/distractor,auditor1,,,,,
v4_paper1000_mixed_blind1000-00208,hotpot_qa/distractor,auditor1,,,,,
v4_paper1000_mixed_blind1000-00209,hotpot_qa/distractor,auditor1,,,,,
v4_paper1000_mixed_blind1000-00210,copenlu/fever_gold_evidence,auditor1,,,,,
v4_paper1000_mixed_blind1000-00211,copenlu/fever_gold_evidence,auditor1,,,,,
v4_paper1000_mixed_blind1000-00212,hotpot_qa/distractor,auditor1,,,,,
v4_paper1000_mixed_blind1000-00213,hotpot_qa/distractor,auditor1,,,,,
v4_paper1000_mixed_blind1000-00214,hotpot_qa/distractor,auditor1,,,,,
v4_paper1000_mixed_blind1000-00215,copenlu/fever_gold_evidence,auditor1,,,,,
v4_paper1000_mixed_blind1000-00216,copenlu/fever_gold_evidence,auditor1,,,,,
v4_paper1000_mixed_blind1000-00217,hotpot_qa/distractor,auditor1,,,,,
v4_paper1000_mixed_blind1000-00218,copenlu/fever_gold_evidence,auditor1,,,,,
v4_paper1000_mixed_blind1000-00219,copenlu/fever_gold_evidence,auditor1,,,,,
v4_paper1000_mixed_blind1000-00220,copenlu/fever_gold_evidence,auditor1,,,,,
v4_paper1000_mixed_blind1000-00221,hotpot_qa/distractor,auditor1,,,,,
v4_paper1000_mixed_blind1000-00222,hotpot_qa/distractor,auditor1,,,,,
